sample,total_reads,site,urban,pH,moisture_pct,OC_pct,totalN_mg_kg,totalP_mg_kg,bulk_density_g_cm3
11B.T1.3,34582660,11,natural,6.55,23.7,2.51,829,208,1.37
11B.T1.6,40572243,11,natural,6.18,18.5,1.83,1540,209,1.24
11B.T1.9,29565867,11,natural,6.47,19,2.37,1184,182,1.27
8.T1.3,30636381,8,natural,6.85,25.5,1.68,1085,202,1.21
8.T1.6,25383741,8,natural,6.47,20.9,1.62,1083,222,1.29
8.T1.9,43030262,8,natural,6.06,24.2,2.79,1019,198,1.11
Ex45.T1.3,25773276,Ex45,natural,7.15,27.6,2.92,1640,372,1.25
Ex45.T1.6,29621807,Ex45,natural,7.05,30.7,2.56,1788,228,1.07
Ex45.T1.9,30969203,Ex45,natural,6.64,25.3,3.22,1230,231,1.24
HP.T1.3,34750121,Himmel Park,urban,8.02,11.5,1.18,604,492,1.32
HP.T1.6,40090458,Himmel Park,urban,7.45,15.1,1.76,497,320,1.44
HP.T1.9,33221754,Himmel Park,urban,8.08,11.2,1.53,881,492,1.41
RC.T1.3,32280844,Rose Canyon,natural,7.06,15.3,1.31,1124,138,1.17
RC.T1.6,28096472,Rose Canyon,natural,7.55,12.2,2.38,1043,147,1.33
RC.T1.9,35966883,Rose Canyon,natural,7,17.4,1.19,1160,220,1.34
RP.T1.3,61105895,Reid Park,urban,8.14,20.5,1.33,494,346,1.65
RP.T1.6,40085109,Reid Park,urban,7.86,17.4,1.42,510,344,1.65
RP.T1.9,30496665,Reid Park,urban,7.85,20.5,1.68,757,298,1.68
SC.T1.3,36113723,Sabino Canyon,natural,6.6,9.5,2.02,657,170,1.23
SC.T1.6,34693371,Sabino Canyon,natural,7.27,16,1.97,904,239,1.41
SC.T1.9,31519325,Sabino Canyon,natural,6.84,13.9,2.17,1197,153,1.38
UAB.T1.3,26903529,UAB,natural,6.97,31.6,3.74,1977,240,1.21
UAB.T1.6,60386318,UAB,natural,6.96,29.9,2.64,1461,371,1.01
UAB.T1.9,34430019,UAB,natural,7.25,30.8,3.38,1424,208,1.09
