,sample_id,replica,collection_date,complete_name,country,city,plant,study_accession,sample_accession,experiment_accession,total_reads,scientific_name,sample,pH,Temperature_C,Dissolved_Oxygen_mg_L,Conductivity_uS_cm,BOD_mg_L,Ammonia_NH4_mg_L,Phosphate_PO4_mg_L,DOC_mg_L
1,1015035,1,7/23/20,DTU_2022_1015035_1_MG_IT_BO_200723_GSL_192,Italy,Bologna,Gruppo HERA,PRJEB68319,SAMEA115117860,ERX11886920,13927903,wastewater metagenome,ERR12510879,7.47,26.7,1.06,1628,191,40.1,13.2,115.3
2,1014141,1,4/23/20,DTU_2022_1014141_1_MG_NL_RO_200423_GSL_1067,Netherlands,Rotterdam,Dokhaven,PRJEB68319,SAMEA115117929,ERX11886873,13975987,wastewater metagenome,ERR12510832,7.28,12.8,0.61,1336,123,28.2,8.9,79.7
3,1014178,1,1/20/21,DTU_2022_1014178_1_MG_NL_RO_210120_GSL_1104,Netherlands,Rotterdam,Dokhaven,PRJEB68319,SAMEA115117930,ERX11886891,12075523,wastewater metagenome,ERR12510850,7.05,5.6,2.09,1266,253,43.6,8.9,132.2
4,1014162,1,9/23/20,DTU_2022_1014162_1_MG_NL_RO_200923_GSL_1088,Netherlands,Rotterdam,Dokhaven,PRJEB68319,SAMEA115117931,ERX11886883,18896791,wastewater metagenome,ERR12510842,7.25,11.6,1.38,1210,274,54.9,7.9,116.5
5,1014149,1,6/24/20,DTU_2022_1014149_1_MG_NL_RO_200624_GSL_1075,Netherlands,Rotterdam,Dokhaven,PRJEB68319,SAMEA115117932,ERX11886877,11421156,wastewater metagenome,ERR12510836,6.91,19.3,0.27,1330,230,43.4,9.8,94
6,1014190,1,4/22/21,DTU_2022_1014190_1_MG_NL_RO_210422_GSL_1116,Netherlands,Rotterdam,Dokhaven,PRJEB68319,SAMEA115117933,ERX11886897,12740144,wastewater metagenome,ERR12510856,7.28,10.9,1.22,1352,129,44.6,9.2,86.5
7,1014200,1,7/8/21,DTU_2022_1014200_1_MG_NL_RO_210708_GSL_1126,Netherlands,Rotterdam,Dokhaven,PRJEB68319,SAMEA115117934,ERX11886902,11831341,wastewater metagenome,ERR12510861,7.63,20.5,0.46,1254,213,49.8,9,96.3
8,1014172,1,12/2/20,DTU_2022_1014172_1_MG_NL_RO_201202_GSL_1098,Netherlands,Rotterdam,Dokhaven,PRJEB68319,SAMEA115117935,ERX11886888,14107367,wastewater metagenome,ERR12510847,7.6,5.2,2.04,1289,290,57.9,8.7,137.2
9,1014180,1,2/3/21,DTU_2022_1014180_1_MG_NL_RO_210203_GSL_1106,Netherlands,Rotterdam,Dokhaven,PRJEB68319,SAMEA115117936,ERX11886892,12116464,wastewater metagenome,ERR12510851,7.79,6.9,0.45,1423,253,52.6,10.2,90.2
10,1014139,1,4/8/20,DTU_2022_1014139_1_MG_NL_RO_200408_GSL_1065,Netherlands,Rotterdam,Dokhaven,PRJEB68319,SAMEA115117937,ERX11886872,12892544,wastewater metagenome,ERR12510831,7.77,12.5,0.59,1179,180,49.3,10.7,89.4
11,1014196,1,6/9/21,DTU_2022_1014196_1_MG_NL_RO_210609_GSL_1122,Netherlands,Rotterdam,Dokhaven,PRJEB68319,SAMEA115117938,ERX11886900,17946524,wastewater metagenome,ERR12510859,7.64,19.1,0.52,1251,184,30.3,10.6,105.2
12,1014154,1,7/24/20,DTU_2022_1014154_1_MG_NL_RO_200724_GSL_1080,Netherlands,Rotterdam,Dokhaven,PRJEB68319,SAMEA115117939,ERX11886879,15633650,wastewater metagenome,ERR12510838,7.05,18.6,0.63,1249,168,40.7,10.8,137.7
13,1014145,1,5/21/20,DTU_2022_1014145_1_MG_NL_RO_200521_GSL_1071,Netherlands,Rotterdam,Dokhaven,PRJEB68319,SAMEA115117940,ERX11886875,12493631,wastewater metagenome,ERR12510834,7.38,12.4,0.2,1296,202,61.7,9.6,106
14,1014183,1,2/25/21,DTU_2022_1014183_1_MG_NL_RO_210225_GSL_1109,Netherlands,Rotterdam,Dokhaven,PRJEB68319,SAMEA115117941,ERX11886893,11462322,wastewater metagenome,ERR12510852,7.69,5.2,1.8,1419,214,66.2,7.2,141.7
15,1014146,1,6/3/20,DTU_2022_1014146_1_MG_NL_RO_200603_GSL_1072,Netherlands,Rotterdam,Dokhaven,PRJEB68319,SAMEA115117942,ERX11886876,17247822,wastewater metagenome,ERR12510835,7.26,17.5,0.84,1224,138,42.5,7.9,109.5
16,1014203,1,7/28/21,DTU_2022_1014203_1_MG_NL_RO_210728_GSL_1129,Netherlands,Rotterdam,Dokhaven,PRJEB68319,SAMEA115117943,ERX11886903,14462817,wastewater metagenome,ERR12510862,7.2,21.3,0.67,1422,151,43.8,12.6,67.9
17,1014184,1,3/3/21,DTU_2022_1014184_1_MG_NL_RO_210303_GSL_1110,Netherlands,Rotterdam,Dokhaven,PRJEB68319,SAMEA115117944,ERX11886894,18397168,wastewater metagenome,ERR12510853,7.6,12.4,0.31,1102,221,44.4,10.5,106.9
18,1014166,1,10/23/20,DTU_2022_1014166_1_MG_NL_RO_201023_GSL_1092,Netherlands,Rotterdam,Dokhaven,PRJEB68319,SAMEA115117945,ERX11886885,14426832,wastewater metagenome,ERR12510844,7.47,11.3,1.21,1580,219,45.5,11.3,80.5
19,1014151,1,7/6/20,DTU_2022_1014151_1_MG_NL_RO_200706_GSL_1077,Netherlands,Rotterdam,Dokhaven,PRJEB68319,SAMEA115117946,ERX11886878,12352071,wastewater metagenome,ERR12510837,7.19,20.7,1.19,1362,233,57.2,9.5,84.9
20,1014175,1,12/23/20,DTU_2022_1014175_1_MG_NL_RO_201223_GSL_1101,Netherlands,Rotterdam,Dokhaven,PRJEB68319,SAMEA115117947,ERX11886889,11285479,wastewater metagenome,ERR12510848,7.38,5.8,1.64,1342,283,55.1,12.9,124.7
21,1014194,1,5/26/21,DTU_2022_1014194_1_MG_NL_RO_210526_GSL_1120,Netherlands,Rotterdam,Dokhaven,PRJEB68319,SAMEA115117948,ERX11886899,14990555,wastewater metagenome,ERR12510858,7.19,12.9,0.37,1372,191,47.7,10.9,98.5
22,1014176,1,1/6/21,DTU_2022_1014176_1_MG_NL_RO_210106_GSL_1102,Netherlands,Rotterdam,Dokhaven,PRJEB68319,SAMEA115117949,ERX11886890,12191858,wastewater metagenome,ERR12510849,7.29,4.7,1.84,1332,200,56.4,10.8,112.3
23,1014159,1,9/2/20,DTU_2022_1014159_1_MG_NL_RO_200902_GSL_1085,Netherlands,Rotterdam,Dokhaven,PRJEB68319,SAMEA115117950,ERX11886882,13982033,wastewater metagenome,ERR12510841,7.11,11.1,1.64,1384,243,63.4,7.2,81.2
24,1014198,1,6/23/21,DTU_2022_1014198_1_MG_NL_RO_210623_GSL_1124,Netherlands,Rotterdam,Dokhaven,PRJEB68319,SAMEA115117951,ERX11886901,14933146,wastewater metagenome,ERR12510860,7.53,19.8,2.34,1386,245,49.6,11.3,93.7
25,1014156,1,8/5/20,DTU_2022_1014156_1_MG_NL_RO_200805_GSL_1082,Netherlands,Rotterdam,Dokhaven,PRJEB68319,SAMEA115117952,ERX11886880,13752808,wastewater metagenome,ERR12510839,7.34,17.8,0.61,1312,293,27.1,11.4,67.7
26,1014143,1,5/4/20,DTU_2022_1014143_1_MG_NL_RO_200504_GSL_1069,Netherlands,Rotterdam,Dokhaven,PRJEB68319,SAMEA115117953,ERX11886874,11453274,wastewater metagenome,ERR12510833,7.42,13.6,0.37,1193,227,36.2,10.4,100.9
27,1014192,1,5/5/21,DTU_2022_1014192_1_MG_NL_RO_210505_GSL_1118,Netherlands,Rotterdam,Dokhaven,PRJEB68319,SAMEA115117954,ERX11886898,14805351,wastewater metagenome,ERR12510857,7.56,15.2,0.2,1328,174,48.8,8.4,97.7
28,1014168,1,11/4/20,DTU_2022_1014168_1_MG_NL_RO_201104_GSL_1094,Netherlands,Rotterdam,Dokhaven,PRJEB68319,SAMEA115117955,ERX11886886,12233099,wastewater metagenome,ERR12510845,7.1,12.3,1.37,1229,174,69.1,10.8,74.8
29,1014164,1,10/7/20,DTU_2022_1014164_1_MG_NL_RO_201007_GSL_1090,Netherlands,Rotterdam,Dokhaven,PRJEB68319,SAMEA115117956,ERX11886884,11373290,wastewater metagenome,ERR12510843,7.66,14.2,0.89,1227,251,49.3,10.9,115.5
30,1014158,1,8/25/20,DTU_2022_1014158_1_MG_NL_RO_200823_GSL_1084,Netherlands,Rotterdam,Dokhaven,PRJEB68319,SAMEA115117957,ERX11886881,19175901,wastewater metagenome,ERR12510840,6.59,18.9,0.39,1262,150,55.1,7.1,91.2
31,1014187,1,3/24/21,DTU_2022_1014187_1_MG_NL_RO_210324_GSL_1113,Netherlands,Rotterdam,Dokhaven,PRJEB68319,SAMEA115117958,ERX11886895,12564543,wastewater metagenome,ERR12510854,7.04,14.2,1.27,1302,161,45.7,10.4,88
32,1014171,1,11/25/20,DTU_2022_1014171_1_MG_NL_RO_201125_GSL_1097,Netherlands,Rotterdam,Dokhaven,PRJEB68319,SAMEA115117959,ERX11886887,13238244,wastewater metagenome,ERR12510846,7.43,10.4,1.76,1538,150,72.1,6.1,97
33,1014188,1,4/7/21,DTU_2022_1014188_1_MG_NL_RO_210407_GSL_1114,Netherlands,Rotterdam,Dokhaven,PRJEB68319,SAMEA115117960,ERX11886896,15431617,wastewater metagenome,ERR12510855,7.24,12.4,0.72,1226,176,48.8,10.7,86.1
34,1014205,1,8/11/21,DTU_2022_1014205_1_MG_NL_RO_210811_GSL_1131,Netherlands,Rotterdam,Dokhaven,PRJEB68319,SAMEA115117961,ERX11886904,28705318,wastewater metagenome,ERR12510863,7.6,19.5,1.05,1176,178,48,11.2,99.6
35,1014208,1,8/30/21,DTU_2022_1014208_1_MG_NL_RO_210830_GSL_1134,Netherlands,Rotterdam,Dokhaven,PRJEB68319,SAMEA115117962,ERX11886905,13619667,wastewater metagenome,ERR12510864,7.25,20.9,1.02,1270,191,50.8,11.7,116.3
36,1014209,1,9/22/21,DTU_2022_1014209_1_MG_NL_RO_210922_GSL_1135,Netherlands,Rotterdam,Dokhaven,PRJEB68319,SAMEA115117963,ERX11886906,24778041,wastewater metagenome,ERR12510865,7.57,11,1.38,1349,195,55.8,11.2,83.6
37,1014210,1,9/29/21,DTU_2022_1014210_1_MG_NL_RO_210929_GSL_1136,Netherlands,Rotterdam,Dokhaven,PRJEB68319,SAMEA115117964,ERX11886907,12197916,wastewater metagenome,ERR12510866,7.1,9.5,1.96,1419,225,60,10,82.1
38,1014211,1,10/7/21,DTU_2022_1014211_1_MG_NL_RO_211007_GSL_1137,Netherlands,Rotterdam,Dokhaven,PRJEB68319,SAMEA115117965,ERX11886908,15311529,wastewater metagenome,ERR12510867,7.64,10,1.44,1176,187,58.3,8.9,83.6
39,1014213,1,10/20/21,DTU_2022_1014213_1_MG_NL_RO_211020_GSL_1139,Netherlands,Rotterdam,Dokhaven,PRJEB68319,SAMEA115117966,ERX11886909,18950866,wastewater metagenome,ERR12510868,7.27,11.4,1.31,1335,142,43.7,8.6,95.7
40,1014215,1,11/3/21,DTU_2022_1014215_1_MG_NL_RO_211103_GSL_1141,Netherlands,Rotterdam,Dokhaven,PRJEB68319,SAMEA115117967,ERX11886910,27442436,wastewater metagenome,ERR12510869,7.61,13.2,1.44,1297,160,54.9,9.4,106.5
41,1007228,1,4/27/20,DTU_2020_1007228_1_MG_RA_CPH_Sewage_655,Denmark,Copenhagen,Rensningsanlaeg Avedoere,PRJEB68319,SAMEA115117968,ERX11886771,15102222,wastewater metagenome,ERR12510730,7.68,12.8,0.76,1260,228,38.8,10.4,100.3
42,1007231,1,5/5/20,DTU_2020_1007231_1_MG_RA_CPH_Sewage_663,Denmark,Copenhagen,Rensningsanlaeg Avedoere,PRJEB68319,SAMEA115117969,ERX11886776,11909078,wastewater metagenome,ERR12510735,7.31,10.8,1,1418,238,59.2,8.5,117.4
43,1007221,2,3/20/20,DTU_2020_1007221_2_MG_RA_CPH_Sewage_648,Denmark,Copenhagen,Rensningsanlaeg Avedoere,PRJEB68319,SAMEA115117991,ERX11886763,20740057,wastewater metagenome,ERR12510722,7.1,15.3,0.46,1110,115,37.8,8.5,103
44,1007213,1,4/2/20,DTU_2020_1007213_1_MG_RA_CPH_Sewage_638,Denmark,Copenhagen,Rensningsanlaeg Avedoere,PRJEB68319,SAMEA115117970,ERX11886749,11201530,wastewater metagenome,ERR12510708,7.54,14.8,0.57,1065,220,31.4,13.7,123.6
45,1007181,1,11/17/19,DTU_2020_1007181_1_MG_RA_CPH_Sewage_603,Denmark,Copenhagen,Rensningsanlaeg Avedoere,PRJEB68319,SAMEA115117971,ERX11886707,14099476,wastewater metagenome,ERR12510666,7.64,7.4,1.45,1386,136,50.2,10,100.9
46,1007265,1,8/4/20,DTU_2020_1007265_1_MG_RA_CPH_Sewage_726,Denmark,Copenhagen,Rensningsanlaeg Avedoere,PRJEB68319,SAMEA115117972,ERX11886816,15293053,wastewater metagenome,ERR12510775,7.03,18.9,0.74,1218,221,47.7,7.8,69.3
47,1007184,2,11/24/19,DTU_2020_1007184_2_MG_RA_CPH_Sewage_606,Denmark,Copenhagen,Rensningsanlaeg Avedoere,PRJEB68319,SAMEA115118001,ERX11886714,11618685,wastewater metagenome,ERR12510673,7.11,10.5,2.12,1217,247,55.5,14.1,135.1
48,1007218,1,3/12/20,DTU_2020_1007218_1_MG_RA_CPH_Sewage_645,Denmark,Copenhagen,Rensningsanlaeg Avedoere,PRJEB68319,SAMEA115117973,ERX11886757,11079123,wastewater metagenome,ERR12510716,7.46,13.5,1.35,1055,227,50.5,6.5,76.3
49,1007187,2,12/2/19,DTU_2020_1007187_2_MG_RA_CPH_Sewage_609,Denmark,Copenhagen,Rensningsanlaeg Avedoere,PRJEB68319,SAMEA115117990,ERX11886720,12643658,wastewater metagenome,ERR12510679,7.48,5.6,2.1,1211,315,44,6.6,128.9
50,1007278,1,9/28/20,DTU_2020_1007278_1_MG_RA_CPH_Sewage_2_587,Denmark,Copenhagen,Rensningsanlaeg Avedoere,PRJEB68319,SAMEA115117974,ERX11886835,22479595,wastewater metagenome,ERR12510794,6.78,10,1.46,1004,227,57.9,8.1,89.7
51,1007201,1,2/29/20,DTU_2020_1007201_1_MG_RA_CPH_Sewage_626,Denmark,Copenhagen,Rensningsanlaeg Avedoere,PRJEB68319,SAMEA115117975,ERX11886737,14860781,wastewater metagenome,ERR12510696,7.54,5.9,1.11,1276,229,48.7,9.8,109.3
52,1007199,1,1/22/20,DTU_2020_1007199_1_MG_RA_CPH_Sewage_624,Denmark,Copenhagen,Rensningsanlaeg Avedoere,PRJEB68319,SAMEA115117976,ERX11886735,16082536,wastewater metagenome,ERR12510694,7.79,4.2,1.51,1095,259,54.1,9.6,142.3
53,1007162,1,5/27/19,DTU_2020_1007162_1_MG_RA_CPH_Sewage_536,Denmark,Copenhagen,Rensningsanlaeg Avedoere,PRJEB68319,SAMEA115117977,ERX11886688,14584632,wastewater metagenome,ERR12510647,7.16,11.2,0.69,855,139,52.9,13.3,95
