D0_R1	D0_R2	D0_R3	D7_R1	D7_R2	D7_R3	D14_R1	D14_R2	D14_R3
LOC114110831	0	0	0	0	0	0	0	0	0
LOC114113923	61	31	14	28	39	42	46	14	4
LOC114113924	4	0	2	3	17	3	7	0	7
RTP5	0	0	0	0	0	0	0	0	0
PDCD1	10	5	5	12	6	12	9	10	14
NEU4	1	0	0	0	0	0	0	0	0
GAL3ST2	0	3	0	0	0	0	0	0	0
D2HGDH	1772	656	648	1775	1641	1063	1820	1163	1693
ING5	520	307	223	463	435	564	335	348	514
DTYMK	183	67	97	183	245	157	150	134	248
ATG4B	624	301	271	1058	1067	661	574	542	971
THAP4	670	381	332	1236	1100	749	698	625	712
LOC105612006	143	89	48	62	85	117	44	39	78
BOK	2065	595	610	1972	1685	1014	1080	1355	1283
STK25	648	375	298	1031	958	682	630	559	594
FARP2	289	120	176	144	223	228	165	117	151
SEPT2	4052	2748	2910	3317	3248	3206	2819	2838	3156
HDLBP	4460	3343	3016	4621	4718	3250	4032	3905	4580
PPP1R7	282	252	223	578	577	355	225	279	375
PASK	90	51	36	49	77	90	88	83	139
MTERF4	671	447	503	596	516	373	421	364	456
SNED1	131	66	35	60	119	145	58	50	68
CROCC2	143	41	79	134	75	14	131	37	67
MAB21L4	35	5	4	78	98	78	29	10	23
AGXT	6063	2402	2917	6094	6034	2994	7049	4204	9805
KIF1A	154	126	86	263	258	343	203	159	240
GPR35	19	5	5	20	20	18	25	6	19
CAPN10	424	185	169	681	609	475	338	389	399
LOC114113946	108	54	61	223	245	96	47	85	81
RNPEPL1	2855	919	1199	3071	2927	2264	2747	2223	2609
DUSP28	722	368	481	596	634	449	508	519	514
ANKMY1	5	6	7	7	10	12	15	9	7
GPC1	623	200	268	494	633	397	681	583	808
LOC114113949	1	0	0	0	0	0	1	0	0
LOC114113952	0	0	0	0	0	0	0	0	0
LOC101107492	0	0	0	0	0	0	0	0	0
LOC114112937	0	0	0	0	0	0	0	0	0
LOC101107754	0	0	0	0	0	0	0	0	0
