gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,direction
LOC101104237,152.163455113521,-2.7337264101720997,0.3565798964286628,-7.666518605091938,1.7672753968309847e-14,2.53303582627785e-10,Down
LOC114108743,179.07349307291216,-3.423567912508232,0.47013440184299105,-7.282104647282518,3.2865196953767773e-13,2.3552843396917673e-9,Down
SARDH,2127.377166756594,1.4474458158944854,0.20959782838372218,6.90582448805036,4.991267759396221e-12,2.3846613598475348e-8,Up
RNF208,110.4428973753235,2.2445452608151295,0.33259581461391974,6.748567366731954,1.4931207189388093e-11,5.350224816137488e-8,Up
WFDC1,1271.118951984119,1.4913495249331494,0.22326009949627132,6.679874855820605,2.391463771578094e-11,6.855370047605764e-8,Up
LOC105611550,2550.5589876335143,1.4001463507586343,0.21800109261089554,6.422657492170091,1.33915581112122e-10,3.199020040133408e-7,Up
LOC114109518,937.0151929962152,-8.644476389558177,1.3578583260014108,-6.366257969647119,1.93695555208669e-10,3.966054846865504e-7,Down
LOC114117878,665.4425741880153,-2.6190830907561353,0.4227228763434547,-6.195744865788096,5.801002925412939e-10,1.0393221866242956e-6,Down
C1QL1,97.81620185133377,2.0232317043409234,0.3341595442431817,6.0546877657593825,1.4069028380224924e-9,2.0165138377376384e-6,Up
MAPK4,788.8245493328291,2.3855946674404427,0.3937486284423919,6.0586742279648895,1.372480354702767e-9,2.0165138377376384e-6,Up
COL28A1,120.04362043199848,-2.1442663941994917,0.3556710100836287,-6.028791589439105,1.6519014225996394e-9,2.1524275536473303e-6,Down
GAL3ST1,184.2878236794892,1.8816226074724978,0.31357354678758137,6.000578259068302,1.9661605977201566e-9,2.3484149872602505e-6,Up
NRARP,55.50365470544173,2.77164539242468,0.4629336428939922,5.987133220860691,2.135718478873429e-9,2.354711765976373e-6,Up
NRTN,247.32117036258765,1.7722112178442597,0.30323552677649696,5.844339008306528,5.085836210632955e-9,5.2068064576430105e-6,Up
NOXA1,274.25523446438314,1.8778490433921697,0.3256646743517022,5.766204293205541,8.107677176312252e-9,7.747155797872234e-6,Up
TPT1_1,311.4954185490286,2.182382515620763,0.3827455274690117,5.7019151341943655,1.1846880938071554e-8,1.0612584030336224e-5,Up
GGT6,137.83500657288565,1.672871540080582,0.29670934392831333,5.6380817601914055,1.7195486712839988e-8,1.4497818297360914e-5,Up
CLDN5,407.8672124503783,1.53952817537692,0.27582170015562274,5.581606430923656,2.3830715281100975e-8,1.8975869006890018e-5,Up
ENDOG,311.68300414370384,1.7423180868668855,0.3152800337739165,5.5262557099200285,3.271372312161381e-8,2.4678199658004776e-5,Up
LOC101108945,342.0473382535338,2.1616064513211244,0.3940841770756414,5.485138904488979,4.1314465403655564e-8,2.960801163152976e-5,Up
MZF1,398.6724404869038,1.3688057756716736,0.2524921849128676,5.421180763056227,5.920665298035918e-8,4.0409950341308956e-5,Up
PGP,524.298757127737,1.3076177398487256,0.24345938496365763,5.370989251631931,7.83058770942234e-8,5.1016278926886546e-5,Up
ATP6V0E2,807.89885858552,1.18029978075624,0.22055305377136353,5.351545855174595,8.720603283740084e-8,5.4344524724281136e-5,Up
LOC114117760,124.50395931312816,1.4299694608862823,0.27298209129459544,5.238327005646298,1.6203876518078185e-7,9.290006485344586e-5,Up
GLIS2,1436.574758422202,1.0415154092225698,0.19857761157408368,5.24487831718134,1.563855039741272e-7,9.290006485344586e-5,Up
ANKRD9,1463.3614408311169,1.8452492253837112,0.35340938385503695,5.221279653798337,1.7769096858175188e-7,9.79555635647019e-5,Up
ADAMTS13,397.2594092564684,1.5994170714925213,0.31023529512614195,5.155496800717652,2.529593611182514e-7,1.2948809010385347e-4,Up
ATP8B4,138.08345606672103,-1.6505470838289265,0.3253988187399722,-5.072381916505624,3.9286691964720733e-7,1.9417108825184215e-4,Down
AKR7A2,1307.8663310639413,1.2343588821521148,0.24366028851131877,5.0659009299119955,4.064732859417606e-7,1.941993869134418e-4,Up
SIPA1,714.2346899269245,1.096249630634943,0.21707027646894603,5.050206082875524,4.41333679096273e-7,1.9767611320271503e-4,Up
AP5B1,319.09186578427006,1.4379034925290148,0.2846922639476293,5.05072906650363,4.401269626333964e-7,1.9767611320271503e-4,Up
SLC6A17,143.68643755390673,1.308651590368094,0.26131735218966873,5.007901616186023,5.502664755387637e-7,2.3618019453572366e-4,Up
ZNF444,286.62327193431355,2.0099225818218467,0.40162808714843107,5.004437304403545,5.602544208619692e-7,2.3618019453572366e-4,Up
ATG4D,314.6410429606831,1.0089796369656774,0.20338623097648345,4.96090434500623,7.016574024486071e-7,2.793570985915524e-4,Up
TMEM238,722.0558531246784,1.9000138866280514,0.3827177951611588,4.96452976749611,6.886772340383219e-7,2.793570985915524e-4,Up
LOC114112490,407.3425578949138,2.428524953959821,0.4926412183837105,4.929601631644799,8.239746216874962e-7,3.191899527742401e-4,Up
SEMA5A,1297.9585840972368,-1.2626300255229421,0.2568121022768216,-4.91655188493389,8.808186071827144e-7,3.255444794863842e-4,Down
GNAZ,290.980536184238,1.3517126662893684,0.27499286761902014,4.915446273181362,8.858044163796123e-7,3.255444794863842e-4,Up
PRKCB,372.46786788461117,-1.0192819473122705,0.20837404963932513,-4.891597341782947,1.000209053312618e-6,3.583999090282438e-4,Down
LOC101104661,71.54209833647559,-2.661321522130226,0.5505384065815218,-4.834034265938442,1.337935411418225e-6,4.565863869489862e-4,Down
ADAMTSL2,731.7514384643205,2.1076247600219333,0.4370615448545797,4.8222608116282295,1.4194018464055105e-6,4.731229456867484e-4,Up
ATP13A2,789.5400614429475,1.3634886959513233,0.2837682344564384,4.8049377287176025,1.5479967678425037e-6,5.042599471246956e-4,Up
LENG9,145.29217665247083,1.2830915046666227,0.2673181054061343,4.799867568705201,1.5877058374267885e-6,5.057019503964036e-4,Up
TLE2,277.080009256254,1.0770850865866055,0.22680365727139626,4.748975830216668,2.044493721750675e-6,6.234835854011154e-4,Up
COL4A2,3657.4278956542175,1.1599638490034259,0.24566256185003688,4.721777059833473,2.337928732176849e-6,6.981152607977246e-4,Up
LOC101117107,19.022705081471464,-3.2216219461177316,0.6831306332354865,-4.715967619339923,2.405646954023683e-6,7.036762814698254e-4,Down
LOC114117822,50.62290552950999,-1.9537967682849713,0.4160843021081632,-4.6956752715392565,2.6572740171460196e-6,7.617341697550781e-4,Down
FAM181B,112.78134943141745,1.8943819650627383,0.4059228256178393,4.666852528382392,3.058486803371692e-6,8.595547324064013e-4,Up
CITED4,944.2846483977493,1.7723318010725828,0.3805329209349861,4.657499268967021,3.2007356005330693e-6,8.713999372562659e-4,Up
BCAR1,1224.734639416748,1.2360863362416525,0.26569537340048577,4.652268951550335,3.2830249502433795e-6,8.713999372562659e-4,Up
ADORA2A,122.10622919520227,1.380108633934762,0.2964461745334509,4.655511699912426,3.2317705278488893e-6,8.713999372562659e-4,Up
LOC101110693,109.727246098871,1.5912535102539174,0.3447787167308811,4.615289265363728,3.925481796065582e-6,0.0010047130461251427,Up
LOC105604543,142.75909018189162,1.4026445672143653,0.30688050940221456,4.570653802506505,4.862049287015279e-6,0.001201512972944655,Up
CKB,920.2700666344613,1.9800323473208652,0.43356527445400417,4.566861010292746,4.950820416405105e-6,0.0012027137123446503,Up
AMN,15228.279285878858,1.649248959580565,0.36284438876493147,4.545334062335549,5.484819345190951e-6,0.0013102319279103649,Up
LOC114117764,129.08562282894277,2.479100083686078,0.5495120870439032,4.511456876267055,6.438387408401969e-6,0.0014365526476351452,Up
NCOR2,2105.1376081156013,1.0400702913272972,0.23024824129883636,4.517169318906557,6.267179116323663e-6,0.0014365526476351452,Up
CASTOR1,1210.6098651858301,1.6277366776700377,0.360793180265834,4.511550568862511,6.435543582835399e-6,0.0014365526476351452,Up
LOC101109397,41.659073133787096,2.1162949800609363,0.46935368582602705,4.508955706476272,6.5147507218505856e-6,0.0014365526476351452,Up
FZD9,23.371066716869663,2.60098833996316,0.5853897706966734,4.44317354037075,8.864161205588842e-6,0.001896268993428431,Up
