"Gene","kME"
"UBR1",0.998250918316876
"AGO4",0.996368833280789
"DPY19L4",0.995899558641792
"CPD",0.995665527895696
"LOC105615677",0.995002355653682
"KLHL24",0.994882865182878
"SMARCAD1",0.994599707999178
"SON",0.994420510209807
"NIPBL",0.993681113273509
"HECTD1",0.993503168221324
"RC3H2",0.993438367573211
"DICER1",0.992961405786996
"DNAJB14",0.992640514915521
"NUP58",0.992582650420258
"PTPRJ",0.991176728321107
"TASOR2",0.991001468281731
"ATXN7L3B",0.990803008596973
"SOX5",0.99069470898861
"TNKS2",0.990105987731496
"HEATR5A",0.989542239801091
