"Gene","kME"
"SMARCAD1",0.994921213925357
"AKAP11",0.994805339334045
"SCAF11",0.992685987399742
"LOC114108620",0.992457117280627
"NIPBL",0.992118758073878
"AGO4",0.992042927081711
"CPD",0.992021226163129
"UBR1",0.991594947940293
"AP5M1",0.991164144108763
"HEATR5A",0.991093356011116
"SON",0.990876539089614
"DPY19L4",0.99030632404441
"DICER1",0.990081425563888
"PPP4R3B",0.990015938107903
"CEP350",0.989947924292385
"NUP58",0.989889298228327
"SPAG9",0.989881897262479
"LOC105615677",0.989825106511972
"DNAL1",0.989644663118183
"LOC114108991",0.989528046802473
